Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Jul,Aug
1,Milwaukee Bucks,56-17,30-5,26-12,37-7,19-10,4-Oct,13-1,14-2,3-Jul,2-Jul,5-May,46-8,9-Oct,2-Mar,38-8,2-Feb,15-1,13-2,2-Nov,1-Oct,4-Feb,Jan-00,5-Feb
2,Toronto Raptors,53-19,26-10,27-9,34-11,19-8,5-Sep,13-3,3-Dec,3-Jul,2-Jul,3-May,40-15,13-4,4-Jun,23-10,1-Apr,3-Oct,7-Sep,3-Dec,3-Jul,1-Apr,,1-Jul
3,Los Angeles Lakers,52-19,25-10,27-9,16-9,36-10,5-May,3-Apr,1-Jul,3-Dec,3-Oct,14-4,41-12,7-Nov,3-Jul,25-11,1-Mar,14-1,5-Sep,4-Oct,2-Sep,1-Apr,Jan-00,5-Feb
4,Los Angeles Clippers,49-23,27-9,22-14,17-7,32-16,3-May,3-Apr,1-Aug,5-Nov,6-Aug,13-5,37-18,5-Dec,3-Aug,32-8,2-Apr,4-Oct,5-Oct,4-Sep,4-Jul,1-Apr,0-1,2-May
5,Boston Celtics,48-24,26-10,22-14,30-13,18-11,6-Sep,4-Sep,3-Dec,3-Jun,4-Jun,4-Jun,38-16,8-Oct,5-Jun,29-7,1-Mar,4-Oct,3-Oct,7-Sep,3-Sep,3-Feb,0-1,2-May
6,Denver Nuggets,46-27,26-11,20-16,17-11,29-16,4-Jun,4-Apr,3-Jul,2-Dec,7-Sep,7-Aug,38-17,10-Aug,5-Sep,16-13,2-Mar,2-Oct,6-Oct,5-Nov,4-Jun,3-Mar,,5-Mar
7,Indiana Pacers,45-28,25-11,20-17,28-19,17-9,7-Sep,7-Aug,5-Nov,3-Jul,2-May,4-May,32-23,13-5,7-May,20-12,3-Jan,4-Nov,5-Oct,5-Sep,7-May,2-Mar,,2-Jun
8,Houston Rockets,44-28,24-12,20-16,16-9,28-19,3-Jun,3-Apr,3-Jun,8-Oct,6-Oct,5-Aug,34-20,8-Oct,5-Apr,22-14,1-Mar,5-Oct,5-Oct,7-Jul,2-Sep,4-Jan,Jan-00,4-Mar
9,Miami Heat,44-29,29-7,15-22,30-13,14-16,6-Sep,3-Nov,4-Oct,6-Apr,6-Apr,4-Jun,35-19,10-Sep,4-Jun,23-11,1-Apr,4-Sep,4-Nov,6-Aug,7-Jun,2-Mar,,5-Mar
10,Oklahoma City Thunder,44-28,23-14,21-14,17-9,27-19,3-May,4-Jun,2-Jun,5-Aug,8-Sep,6-Oct,33-22,6-Nov,6-Aug,18-10,4-Jan,7-Jun,4-Nov,5-Dec,3-Jul,1-Mar,,4-Apr
11,Utah Jazz,44-28,23-12,21-16,20-7,24-21,4-Jun,2-Jun,1-Aug,7-May,6-Sep,8-Oct,36-18,10-Aug,5-Jul,18-11,1-Apr,6-Aug,5-Sep,4-Nov,6-May,1-Apr,Jan-00,5-Feb
12,Dallas Mavericks,43-32,20-18,23-14,16-12,27-20,5-Apr,2-Jul,5-May,6-Sep,10-Aug,4-Oct,33-22,10-Oct,11-Feb,23-9,1-Mar,5-Sep,6-Sep,7-Aug,5-Jul,3-Apr,0-1,4-Mar
13,Philadelphia 76ers,43-30,31-4,26-Dec,28-18,15-12,5-Nov,6-Oct,7-Jul,4-May,5-May,3-May,34-21,9-Sep,5-Jun,19-15,Apr-00,6-Oct,7-Sep,5-Aug,5-Jun,3-Feb,,4-Apr
14,Brooklyn Nets,35-37,20-16,15-21,23-23,14-Dec,10-Jun,4-Aug,9-Sep,7-Feb,2-Jun,5-Apr,25-28,9-Oct,7-Jul,17-19,3-Jan,6-Sep,7-Jun,10-May,7-May,1-Apr,0-1,2-May
15,Portland Trail Blazers,35-39,21-15,14-24,15-12,20-27,6-Apr,4-Apr,2-Jul,8-May,10-Jul,9-Aug,25-31,8-Oct,3-Sep,17-18,2-Mar,10-May,8-Jun,7-Aug,8-Apr,2-Mar,Jan-00,2-May
16,Memphis Grizzlies,34-39,20-17,14-22,14-13,20-26,4-Mar,6-Apr,3-Jul,7-Aug,10-Aug,9-Apr,28-26,13-Jun,4-Mar,18-21,3-Jan,10-Apr,8-Aug,4-Nov,6-May,2-Mar,0-1,5-Feb
17,Phoenix Suns,34-39,17-22,17-17,15-12,19-27,4-Jun,4-Mar,4-Jun,9-Jun,9-Jun,9-Jul,22-33,6-Dec,8-Apr,15-18,2-Mar,8-May,10-May,8-Jul,9-Apr,2-Feb,Jan-00,Jul-00
18,Orlando Magic,33-40,18-17,15-23,20-23,13-17,10-Jun,8-May,5-Sep,8-Feb,5-May,4-Jun,24-31,9-Sep,5-May,18-20,2-Feb,9-May,8-Jul,8-Jul,6-Jun,2-Mar,Jan-00,5-Feb
19,San Antonio Spurs,32-39,19-15,13-24,16-Dec,20-23,5-May,6-Feb,5-May,9-Jun,8-Jul,6-Jul,23-31,8-Sep,7-Oct,12-Oct,1-Mar,12-Apr,5-Jul,8-Jul,7-Apr,3-Feb,Jan-00,3-Apr
20,Sacramento Kings,31-41,16-19,15-22,18-Aug,23-23,8-Feb,5-Feb,5-Apr,9-Jul,5-Aug,9-Aug,21-33,8-Oct,8-Jun,18-Dec,0-5,5-Aug,12-Apr,8-Jun,4-Jul,2-Mar,0-1,4-Mar
21,New Orleans Pelicans,30-42,15-21,15-21,12-Dec,18-30,6-Feb,3-Jul,3-Mar,9-Sep,12-May,9-Apr,23-32,10-Jul,6-Feb,18-15,4-Jan,9-May,10-May,6-Sep,4-Jun,3-Feb,0-1,5-Feb
22,Washington Wizards,25-47,16-20,27-Sep,18-27,20-Jul,7-Aug,11-May,9-May,7-Mar,7-Feb,6-Feb,20-33,14-May,4-Jan,25-Dec,3-Jan,8-May,11-Apr,9-Jun,6-May,3-Mar,0-1,6-Jan
23,Charlotte Hornets,23-42,21-Oct,13-21,16-24,18-Jul,9-May,8-Sep,7-Feb,7-Jan,4-Apr,7-Feb,18-36,6-May,8-Sep,25-May,3-Feb,10-Jun,10-May,9-Mar,6-May,4-Feb,,
24,Chicago Bulls,22-43,14-20,23-Aug,15-28,15-Jul,12-Jan,9-Jul,7-Jul,6-Jan,5-Feb,4-Apr,19-36,7-Mar,6-Jun,19-Jul,4-Jan,10-May,7-Jul,11-Jun,8-Jan,3-Feb,,
25,New York Knicks,21-45,22-Nov,23-Oct,15-28,17-Jun,11-Feb,8-Aug,9-May,6-Jan,6-Feb,5-Mar,17-38,7-Apr,6-Jul,21-Aug,4-Jan,11-Mar,9-May,12-Apr,6-May,3-Mar,,
26,Atlanta Hawks,20-47,14-20,27-Jun,Nov-32,15-Sep,13-Mar,12-Feb,7-Jun,5-Mar,5-Mar,5-Mar,15-41,6-May,5-Jan,29-Aug,3-Feb,13-Feb,11-Mar,9-Jun,7-Jun,4-Jan,,
27,Detroit Pistons,20-46,22-Nov,24-Sep,31-Dec,15-Aug,11-Mar,10-May,10-Apr,7-Jan,3-Apr,5-Mar,19-38,8-Jan,6-Apr,26-Sep,3-Feb,10-Apr,9-Jun,11-May,8-Mar,0-5,,
28,Cleveland Cavaliers,19-46,25-Nov,21-Aug,Dec-32,14-Jul,14-Feb,10-Apr,8-Jun,4-Apr,0-4,6-Mar,14-40,6-May,5-May,28-Jun,2-Feb,12-Mar,9-May,13-Mar,7-Apr,3-Feb,,
29,Minnesota Timberwolves,19-45,24-Aug,21-Nov,15-Oct,30-Sep,4-Feb,6-Mar,5-May,10-Feb,8-Apr,12-Mar,16-37,8-Mar,4-Mar,21-Oct,1-Mar,7-Jul,12-Feb,12-Mar,9-Feb,4-Feb,,
30,Golden State Warriors,15-50,26-Aug,24-Jul,16-Jun,Sep-34,6-Jan,3-Mar,7-Feb,12-Mar,11-Feb,11-Apr,Dec-43,7-Mar,3-Jan,30-Aug,3-Jan,13-Mar,10-May,13-Jan,8-Mar,3-Feb,,
